iter	Passed	Remaining
0	151	151545
1	155	77811
2	157	52388
3	159	39664
4	160	32037
5	162	26993
6	164	23368
7	166	20647
8	170	18780
9	172	17058
10	174	15646
11	175	14469
12	177	13495
13	178	12595
14	179	11811
15	180	11122
16	181	10518
17	185	10113
18	186	9629
19	187	9189
20	188	8792
21	189	8432
22	190	8108
23	191	7804
24	192	7525
25	193	7265
26	194	7026
27	195	6802
28	196	6595
29	200	6477
30	201	6298
31	202	6128
32	203	5971
33	205	5828
34	206	5684
35	207	5548
36	208	5420
37	209	5298
38	210	5182
39	211	5071
40	212	4966
41	215	4909
42	216	4814
43	217	4723
44	218	4640
45	219	4555
46	220	4473
47	221	4396
48	222	4321
49	223	4249
50	224	4181
51	225	4115
52	227	4067
53	230	4030
54	231	3971
55	232	3922
56	233	3866
57	234	3812
58	235	3760
59	236	3710
60	237	3661
61	238	3614
62	239	3568
63	241	3525
64	244	3514
65	245	3476
66	246	3436
67	247	3396
68	248	3358
69	249	3320
70	250	3283
71	251	3247
72	253	3212
73	254	3178
74	255	3145
75	256	3113
76	259	3108
77	261	3086
78	262	3056
79	263	3026
80	264	2997
81	265	2968
82	265	2936
83	266	2909
84	267	2883
85	268	2857
86	269	2832
87	270	2808
88	274	2809
89	275	2788
90	276	2764
91	277	2742
92	278	2719
93	279	2698
94	280	2676
95	282	2655
96	283	2635
97	284	2614
98	285	2594
99	286	2574
100	289	2577
101	290	2559
102	291	2541
103	292	2523
104	293	2505
105	294	2487
106	295	2470
107	297	2453
108	298	2436
109	299	2420
110	300	2404
111	301	2388
112	304	2393
113	306	2379
114	307	2364
115	308	2349
116	309	2332
117	310	2318
118	311	2303
119	312	2289
120	313	2275
121	314	2260
122	315	2246
123	316	2233
124	319	2235
125	320	2223
126	321	2209
127	322	2196
128	323	2184
129	324	2172
130	325	2160
131	326	2148
132	327	2136
133	328	2125
134	329	2114
135	334	2126
136	335	2116
137	336	2104
138	338	2093
139	339	2082
140	340	2072
141	340	2059
142	341	2048
143	342	2038
144	343	2028
145	345	2018
146	346	2010
147	349	2010
148	350	2000
149	351	1990
150	352	1981
151	353	1971
152	354	1962
153	355	1952
154	356	1943
155	357	1934
156	358	1927
157	359	1917
158	361	1913
159	364	1912
160	364	1902
161	366	1893
162	367	1884
163	368	1876
164	369	1868
165	370	1859
166	371	1851
167	372	1844
168	373	1836
169	374	1829
170	375	1821
171	378	1821
172	379	1814
173	380	1806
174	381	1799
175	382	1791
176	383	1783
177	384	1776
178	386	1770
179	387	1763
180	388	1756
181	389	1748
182	390	1741
183	393	1742
184	394	1736
185	395	1729
186	396	1722
187	397	1715
188	398	1708
189	399	1702
190	400	1695
191	401	1689
192	402	1682
193	403	1676
194	404	1669
195	407	1672
196	408	1666
197	409	1660
198	410	1654
199	411	1647
200	412	1641
201	414	1636
202	415	1631
203	416	1625
204	417	1620
205	419	1615
206	423	1622
207	424	1618
208	426	1613
209	427	1608
210	428	1603
211	430	1598
212	431	1593
213	432	1588
214	433	1582
215	434	1577
216	437	1577
217	438	1574
218	440	1569
219	441	1564
220	442	1558
221	443	1553
222	444	1547
223	445	1542
224	446	1536
225	447	1531
226	448	1526
227	451	1530
228	453	1525
229	454	1520
230	455	1515
231	456	1510
232	457	1505
233	458	1500
234	459	1495
235	460	1490
236	461	1485
237	462	1480
238	463	1475
239	466	1478
240	468	1474
241	469	1469
242	470	1464
243	471	1460
244	472	1455
245	473	1450
246	474	1445
247	475	1441
248	476	1436
249	477	1431
250	478	1426
251	481	1429
252	483	1426
253	484	1422
254	485	1419
255	486	1415
256	488	1411
257	489	1407
258	490	1403
259	491	1400
260	493	1396
261	497	1401
262	498	1397
263	499	1393
264	500	1388
265	501	1384
266	502	1380
267	503	1375
268	504	1371
269	505	1367
270	506	1363
271	507	1358
272	508	1354
273	512	1356
274	513	1353
275	514	1348
276	515	1345
277	516	1341
278	517	1337
279	518	1333
280	519	1329
281	520	1325
282	521	1321
283	522	1318
284	523	1314
285	526	1315
286	528	1311
287	529	1307
288	530	1303
289	530	1300
290	531	1296
291	532	1292
292	533	1288
293	535	1284
294	536	1281
295	537	1278
296	538	1274
297	541	1276
298	542	1272
299	543	1269
300	545	1266
301	546	1263
302	547	1259
303	548	1256
304	550	1253
305	551	1250
306	552	1246
307	553	1243
308	556	1245
309	557	1241
310	558	1238
311	559	1234
312	560	1230
313	561	1227
314	562	1223
315	563	1220
316	565	1217
317	566	1214
318	567	1210
319	568	1207
320	571	1208
321	572	1205
322	573	1202
323	574	1198
324	575	1195
325	576	1192
326	577	1189
327	578	1186
328	579	1182
329	580	1179
330	581	1176
331	582	1172
332	586	1174
333	587	1171
334	588	1168
335	589	1165
336	590	1162
337	591	1158
338	592	1155
339	593	1152
340	594	1149
341	595	1145
342	596	1142
343	597	1139
344	600	1140
345	602	1138
346	603	1135
347	604	1132
348	605	1129
349	606	1126
350	607	1123
351	608	1120
352	609	1117
353	610	1114
354	611	1110
355	612	1107
356	614	1105
357	616	1106
358	617	1103
359	618	1100
