iter	Passed	Remaining
0	136	136539
1	137	68710
2	138	46098
3	139	34778
4	140	27993
5	141	23461
6	142	20218
7	143	17783
8	144	15883
9	145	14369
10	146	13127
11	148	12247
12	149	11348
13	150	10575
14	150	9902
15	151	9314
16	152	8796
17	152	8335
18	153	7922
19	154	7554
20	154	7223
21	155	6926
22	156	6653
23	157	6402
24	158	6174
25	159	5962
26	160	5766
27	161	5611
28	163	5477
29	164	5332
30	165	5188
31	167	5053
32	168	4937
33	169	4821
34	170	4709
35	171	4602
36	173	4513
37	174	4422
38	178	4387
39	179	4301
40	180	4217
41	181	4150
42	183	4073
43	184	4010
44	185	3941
45	186	3874
46	187	3809
47	189	3754
48	191	3714
49	192	3660
50	193	3605
51	194	3553
52	195	3501
53	197	3455
54	198	3413
55	199	3367
56	200	3323
57	201	3276
58	202	3231
59	203	3187
60	204	3153
61	206	3129
62	207	3089
63	208	3050
64	209	3012
65	210	2975
66	211	2940
67	212	2906
68	212	2872
69	213	2839
70	214	2807
71	215	2776
72	216	2745
73	217	2716
74	217	2687
75	218	2658
76	221	2649
77	221	2622
78	222	2596
79	223	2571
80	224	2546
81	225	2523
82	225	2495
83	226	2472
84	227	2449
85	228	2427
86	229	2405
87	230	2383
88	230	2362
89	231	2342
90	232	2322
91	233	2302
92	235	2296
93	236	2277
94	237	2259
95	238	2241
96	239	2225
97	239	2208
98	240	2191
99	241	2174
100	242	2157
101	243	2141
102	244	2125
103	244	2109
104	245	2094
105	246	2079
106	247	2064
107	248	2054
108	250	2048
109	251	2038
110	252	2025
111	253	2013
112	255	2001
113	255	1988
114	256	1975
115	257	1962
116	258	1948
117	259	1935
118	259	1923
119	260	1911
120	261	1899
121	262	1886
122	263	1876
123	264	1871
124	265	1861
125	266	1850
126	267	1838
127	268	1828
128	269	1817
129	270	1807
130	270	1796
131	271	1786
132	272	1776
133	273	1766
134	274	1756
135	274	1747
136	275	1737
137	276	1727
138	277	1720
139	279	1716
140	280	1707
141	280	1696
142	281	1689
143	282	1680
144	283	1671
145	284	1663
146	285	1654
147	285	1646
148	286	1638
149	287	1630
150	288	1621
151	289	1613
152	290	1605
153	290	1597
154	291	1590
155	293	1589
156	294	1582
157	295	1575
158	296	1568
159	297	1561
160	297	1552
161	298	1545
162	299	1538
163	300	1531
164	301	1524
165	302	1517
166	302	1511
167	303	1504
168	304	1497
169	305	1491
170	306	1484
171	308	1484
172	309	1479
173	310	1473
174	311	1466
175	312	1460
176	312	1454
177	313	1448
